,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
62,32,141.31174547844256,3342,0.468337522004731,"[0, 12, 4, 17, 5, 16, 9, 18, 6, 19, 3, 15, 7, 20, 8, 21, 10, 14, 2, 11, 1, 13]",100,0.6,4096
63,64,143.74183662959047,6579,0.7486615689995233,"[0, 12, 3, 17, 5, 16, 9, 18, 6, 19, 4, 15, 7, 20, 10, 21, 8, 14, 2, 13, 1, 11]",100,0.6,4096
64,128,145.8412604137563,13049,1.271845470997505,"[0, 12, 3, 15, 5, 18, 9, 19, 6, 16, 4, 17, 7, 20, 10, 21, 8, 14, 2, 13, 1, 11]",100,0.6,4096
65,256,147.09502354420948,25988,2.277769767009886,"[0, 12, 3, 14, 4, 17, 7, 18, 5, 16, 6, 19, 9, 21, 10, 20, 8, 15, 2, 13, 1, 11]",100,0.6,4096
66,512,148.2099118493984,51852,4.265425413992489,"[0, 12, 2, 14, 4, 15, 5, 17, 6, 18, 8, 19, 9, 21, 10, 20, 7, 16, 3, 13, 1, 11]",100,0.6,4096
67,1024,148.36894210913871,103565,8.226098579994868,"[0, 12, 2, 14, 4, 15, 5, 17, 6, 18, 8, 20, 10, 21, 9, 19, 7, 16, 3, 13, 1, 11]",100,0.6,4096
68,2048,148.36894210913871,173457,13.629000415996416,"[0, 12, 2, 14, 4, 15, 5, 17, 6, 18, 8, 20, 10, 21, 9, 19, 7, 16, 3, 13, 1, 11]",100,0.6,4096
69,4096,148.36894210913871,173457,13.629000415996416,"[0, 12, 2, 14, 4, 15, 5, 17, 6, 18, 8, 20, 10, 21, 9, 19, 7, 16, 3, 13, 1, 11]",100,0.6,4096
70,0,115.03323506933009,100,0.0022898800089024007,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 9, 21, 7, 10, 14, 19, 6]",100,0.3,4096
71,1,127.95276744334218,202,0.05237316302373074,"[10, 0, 16, 6, 20, 19, 9, 21, 8, 17, 4, 14, 2, 15, 5, 1, 11, 7, 12, 3, 13, 18]",100,0.3,4096
72,2,130.71250217525917,304,0.1026649750128854,"[10, 0, 16, 6, 11, 19, 9, 21, 8, 17, 4, 14, 2, 15, 5, 1, 20, 7, 13, 3, 12, 18]",100,0.3,4096
73,4,130.71250217525917,506,0.16086520801763982,"[10, 0, 16, 6, 11, 19, 9, 21, 8, 17, 4, 14, 2, 15, 5, 1, 20, 7, 13, 3, 12, 18]",100,0.3,4096
74,8,134.37072329214539,911,0.23440490002394654,"[10, 0, 16, 6, 20, 19, 9, 21, 8, 12, 4, 14, 2, 15, 7, 17, 5, 18, 11, 1, 13, 3]",100,0.3,4096
75,16,137.81125714687255,1721,0.3377382710168604,"[10, 0, 16, 6, 20, 11, 19, 9, 21, 8, 17, 4, 14, 2, 15, 3, 13, 5, 18, 12, 7, 1]",100,0.3,4096
76,32,143.15042456901645,3342,0.5004991140158381,"[12, 0, 10, 16, 6, 20, 11, 21, 9, 19, 8, 17, 4, 14, 2, 15, 3, 13, 5, 18, 7, 1]",100,0.3,4096
77,64,144.74781012125098,6579,0.7816580420185346,"[12, 0, 10, 16, 8, 20, 11, 1, 9, 19, 6, 17, 4, 14, 2, 13, 3, 15, 5, 18, 7, 21]",100,0.3,4096
78,128,146.28707505595685,13049,1.3030577380268369,"[12, 1, 10, 18, 8, 20, 11, 0, 9, 19, 6, 16, 4, 14, 2, 13, 3, 15, 5, 17, 7, 21]",100,0.3,4096
79,256,148.3433111351042,25987,2.301094248017762,"[10, 1, 12, 0, 11, 21, 9, 19, 7, 18, 6, 16, 4, 14, 2, 13, 3, 15, 5, 17, 8, 20]",100,0.3,4096
80,512,148.40746130081345,51844,4.25834184300038,"[10, 0, 12, 1, 11, 21, 9, 19, 7, 18, 6, 16, 4, 14, 2, 13, 3, 15, 5, 17, 8, 20]",100,0.3,4096
81,1024,148.40746130081345,103556,8.154655348014785,"[10, 0, 12, 1, 11, 21, 9, 19, 7, 18, 6, 16, 4, 14, 2, 13, 3, 15, 5, 17, 8, 20]",100,0.3,4096
82,2048,148.40746130081345,127190,9.974068113020621,"[10, 0, 12, 1, 11, 21, 9, 19, 7, 18, 6, 16, 4, 14, 2, 13, 3, 15, 5, 17, 8, 20]",100,0.3,4096
83,4096,148.40746130081345,127190,9.974068113020621,"[10, 0, 12, 1, 11, 21, 9, 19, 7, 18, 6, 16, 4, 14, 2, 13, 3, 15, 5, 17, 8, 20]",100,0.3,4096
84,0,115.03323506933009,200,0.004289277974748984,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 9, 21, 7, 10, 14, 19, 6]",200,0.4,4096
85,1,127.95276744334218,402,0.0671667969727423,"[10, 0, 16, 6, 20, 19, 9, 21, 8, 17, 4, 14, 2, 15, 5, 1, 11, 7, 12, 3, 13, 18]",200,0.4,4096
86,2,127.95276744334218,603,0.12954615597845986,"[10, 0, 16, 6, 20, 19, 9, 21, 8, 17, 4, 14, 2, 15, 5, 1, 11, 7, 12, 3, 13, 18]",200,0.4,4096
87,4,127.95276744334218,1005,0.2081246389716398,"[10, 0, 16, 6, 20, 19, 9, 21, 8, 17, 4, 14, 2, 15, 5, 1, 11, 7, 12, 3, 13, 18]",200,0.4,4096
88,8,130.10205543463036,1810,0.3158635849831626,"[7, 21, 5, 12, 18, 9, 20, 13, 3, 16, 2, 11, 1, 8, 17, 14, 10, 0, 6, 19, 4, 15]",200,0.4,4096
89,16,140.36607819597504,3422,0.4835479489993304,"[7, 21, 5, 12, 18, 9, 20, 10, 0, 16, 6, 19, 8, 17, 4, 14, 2, 11, 1, 13, 3, 15]",200,0.4,4096
90,32,140.36607819597504,6638,0.7715045139775611,"[7, 21, 5, 12, 18, 9, 20, 10, 0, 16, 6, 19, 8, 17, 4, 14, 2, 11, 1, 13, 3, 15]",200,0.4,4096
91,64,146.10615189065754,13074,1.2995876489731018,"[7, 21, 10, 0, 12, 20, 9, 18, 5, 16, 6, 19, 8, 17, 4, 14, 2, 11, 1, 13, 3, 15]",200,0.4,4096
92,128,147.000195209839,25942,2.309484439989319,"[7, 20, 10, 0, 11, 21, 9, 18, 5, 16, 6, 19, 8, 17, 4, 14, 2, 12, 1, 13, 3, 15]",200,0.4,4096
93,256,148.11366334284835,51681,4.269238768989453,"[16, 7, 20, 10, 0, 11, 21, 9, 19, 8, 18, 6, 17, 5, 15, 4, 14, 2, 12, 1, 13, 3]",200,0.4,4096
94,512,148.11366334284835,103137,8.13705093198223,"[16, 7, 20, 10, 0, 11, 21, 9, 19, 8, 18, 6, 17, 5, 15, 4, 14, 2, 12, 1, 13, 3]",200,0.4,4096
95,1024,148.11366334284835,206049,15.877313378994586,"[16, 7, 20, 10, 0, 11, 21, 9, 19, 8, 18, 6, 17, 5, 15, 4, 14, 2, 12, 1, 13, 3]",200,0.4,4096
96,2048,148.11366334284835,245244,18.86837573797675,"[16, 7, 20, 10, 0, 11, 21, 9, 19, 8, 18, 6, 17, 5, 15, 4, 14, 2, 12, 1, 13, 3]",200,0.4,4096
97,4096,148.11366334284835,245244,18.86837573797675,"[16, 7, 20, 10, 0, 11, 21, 9, 19, 8, 18, 6, 17, 5, 15, 4, 14, 2, 12, 1, 13, 3]",200,0.4,4096
98,0,115.03323506933009,200,0.00437191198579967,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 9, 21, 7, 10, 14, 19, 6]",200,0.6,4096
99,1,127.95276744334218,402,0.07204959299997427,"[10, 0, 16, 6, 20, 19, 9, 21, 8, 17, 4, 14, 2, 15, 5, 1, 11, 7, 12, 3, 13, 18]",200,0.6,4096
100,2,127.95276744334218,603,0.13915225697564892,"[10, 0, 16, 6, 20, 19, 9, 21, 8, 17, 4, 14, 2, 15, 5, 1, 11, 7, 12, 3, 13, 18]",200,0.6,4096
101,4,128.76458357542154,1006,0.22126447499613278,"[8, 17, 2, 12, 0, 9, 4, 13, 3, 19, 10, 14, 20, 11, 21, 6, 16, 7, 18, 15, 5, 1]",200,0.6,4096
102,8,128.76458357542154,1810,0.33408317298744805,"[8, 17, 2, 12, 0, 9, 4, 13, 3, 19, 10, 14, 20, 11, 21, 6, 16, 7, 18, 15, 5, 1]",200,0.6,4096
103,16,134.86389676812007,3419,0.507919392985059,"[14, 1, 15, 8, 9, 2, 12, 0, 17, 4, 13, 3, 19, 10, 20, 11, 21, 6, 16, 7, 18, 5]",200,0.6,4096
104,32,138.24207006133193,6637,0.8099556569941342,"[10, 0, 12, 2, 13, 18, 6, 17, 9, 21, 8, 20, 15, 5, 16, 7, 1, 14, 3, 11, 19, 4]",200,0.6,4096
105,64,141.79709467012069,13074,1.3481202219845727,"[3, 13, 4, 12, 19, 10, 0, 16, 6, 20, 9, 21, 8, 17, 5, 14, 1, 11, 2, 15, 7, 18]",200,0.6,4096
106,128,144.36111042255808,25950,2.3752015049976762,"[3, 13, 2, 10, 19, 12, 4, 16, 6, 20, 9, 21, 8, 18, 7, 17, 5, 14, 1, 11, 0, 15]",200,0.6,4096
107,256,146.4394972963903,51687,4.369853275973583,"[4, 14, 2, 11, 21, 12, 3, 16, 6, 19, 9, 20, 8, 18, 7, 17, 5, 15, 1, 10, 0, 13]",200,0.6,4096
108,512,148.48052067348354,103155,8.301240625994978,"[3, 13, 1, 11, 21, 10, 0, 12, 2, 14, 4, 16, 7, 19, 9, 20, 8, 18, 6, 17, 5, 15]",200,0.6,4096
109,1024,148.48052067348354,206067,16.16265357399243,"[3, 13, 1, 11, 21, 10, 0, 12, 2, 14, 4, 16, 7, 19, 9, 20, 8, 18, 6, 17, 5, 15]",200,0.6,4096
