,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
53,256,159.1482921484142,77362,106.29755720301182,"[13, 24, 12, 3, 14, 25, 30, 15, 5, 17, 8, 31, 21, 16, 6, 22, 29, 1, 19, 26, 20, 28, 7, 27, 18, 9, 0, 10, 2, 23, 11, 4]",True,300,0.5,512
54,512,159.1482921484142,154418,214.07047865001368,"[13, 24, 12, 3, 14, 25, 30, 15, 5, 17, 8, 31, 21, 16, 6, 22, 29, 1, 19, 26, 20, 28, 7, 27, 18, 9, 0, 10, 2, 23, 11, 4]",True,300,0.5,512
55,0,129.5135622027953,300,0.007454250007867813,"[29, 15, 24, 17, 8, 9, 30, 25, 12, 0, 4, 16, 5, 13, 11, 23, 1, 2, 26, 3, 21, 27, 22, 18, 31, 20, 7, 10, 14, 28, 19, 6]",True,300,0.75,512
56,1,154.40445215091734,602,0.47817389300325885,"[13, 3, 26, 7, 14, 24, 6, 0, 12, 30, 2, 10, 21, 8, 17, 25, 28, 22, 27, 23, 31, 11, 16, 1, 15, 4, 29, 5, 20, 18, 9, 19]",True,300,0.75,512
57,2,154.40445215091734,903,0.9064908979926258,"[13, 3, 26, 7, 14, 24, 6, 0, 12, 30, 2, 10, 21, 8, 17, 25, 28, 22, 27, 23, 31, 11, 16, 1, 15, 4, 29, 5, 20, 18, 9, 19]",True,300,0.75,512
58,4,155.6747399193545,1506,1.7011013650044333,"[19, 16, 0, 15, 3, 28, 24, 9, 21, 11, 2, 13, 25, 30, 5, 14, 8, 1, 6, 10, 31, 27, 22, 29, 18, 23, 12, 20, 4, 26, 17, 7]",True,300,0.75,512
59,8,155.98138872490568,2711,3.321663812996121,"[3, 22, 30, 28, 0, 11, 2, 15, 31, 6, 20, 13, 4, 14, 29, 5, 27, 16, 8, 24, 1, 7, 26, 21, 10, 19, 9, 18, 25, 12, 23, 17]",True,300,0.75,512
60,16,161.07374037286297,5123,6.562200988002587,"[7, 17, 1, 8, 26, 31, 9, 23, 6, 20, 10, 2, 14, 27, 30, 13, 21, 11, 22, 3, 16, 25, 24, 15, 28, 0, 12, 4, 19, 5, 29, 18]",True,300,0.75,512
61,32,161.92103967007412,9941,12.872224876016844,"[9, 16, 4, 10, 22, 13, 24, 28, 26, 23, 29, 18, 11, 2, 27, 6, 19, 12, 0, 14, 17, 5, 31, 3, 15, 25, 21, 8, 20, 7, 30, 1]",True,300,0.75,512
62,64,167.1449747192492,19577,25.04492987500271,"[9, 16, 4, 22, 10, 2, 29, 19, 3, 12, 25, 21, 11, 0, 27, 18, 5, 28, 24, 14, 23, 6, 15, 31, 13, 26, 17, 8, 20, 7, 30, 1]",True,300,0.75,512
63,128,167.1449747192492,38841,50.50428775601904,"[9, 16, 4, 22, 10, 2, 29, 19, 3, 12, 25, 21, 11, 0, 27, 18, 5, 28, 24, 14, 23, 6, 15, 31, 13, 26, 17, 8, 20, 7, 30, 1]",True,300,0.75,512
64,256,167.1449747192492,77369,103.59799400100019,"[9, 16, 4, 22, 10, 2, 29, 19, 3, 12, 25, 21, 11, 0, 27, 18, 5, 28, 24, 14, 23, 6, 15, 31, 13, 26, 17, 8, 20, 7, 30, 1]",True,300,0.75,512
65,512,167.1449747192492,154425,209.4975877770048,"[9, 16, 4, 22, 10, 2, 29, 19, 3, 12, 25, 21, 11, 0, 27, 18, 5, 28, 24, 14, 23, 6, 15, 31, 13, 26, 17, 8, 20, 7, 30, 1]",True,300,0.75,512
